Loan_Amount,Interest_Rate,Tenure_Months,Credit_Score,Income,Employment_Type,Debt_to_Income_Ratio,Collateral_Value,Late_Payments,Missed_EMI_Count,Default,Risk_Score,Prob_Default
171958,12.67,36,878,191020,Contractual,0.93,798385,0,1,No,-0.29377051268628074,0.42708103474261677
721155,15.23,36,364,80133,Salaried,0.6,630698,0,1,Yes,6.930676094742491,0.9990236143899619
181932,17.34,24,387,129444,Self-Employed,1.03,1698019,3,1,Yes,5.018646426253824,0.9934299781821745
1464414,16.2,24,324,132603,Self-Employed,0.23,1203183,2,1,Yes,8.115078889617882,0.9997010929317365
309178,8.97,48,848,173598,Salaried,0.38,1779472,0,1,No,0.35879993433104074,0.5887499009908791
1742743,11.41,24,300,143585,Self-Employed,1.01,1516831,2,0,Yes,8.994375010156586,0.9998759094613511
160268,7.55,48,848,198270,Salaried,0.52,1301288,2,0,No,0.24133295506128005,0.5600421088955355
782180,17.45,60,440,58395,Salaried,1.18,1916037,2,1,Yes,7.936225318948541,0.9996425742138705
1153462,13.27,24,487,170103,Self-Employed,0.61,1052631,2,0,Yes,5.202455303551378,0.9945270814734523
187337,8.74,48,272,140814,Salaried,0.97,300314,3,0,Yes,6.438782521624271,0.9984041991956925
1049890,14.06,36,500,183773,Unemployed,0.54,1042835,1,0,Yes,4.458224927854835,0.9885497219460692
1620006,13.42,84,426,127599,Salaried,0.57,229016,2,2,Yes,8.358488052414204,0.9997656564655841
1186074,10.3,36,369,40939,Salaried,0.52,1811521,2,3,Yes,14.451188198702134,0.9999994704237765
1997735,7.36,60,574,195217,Salaried,0.89,1934984,3,1,Yes,6.572688744661923,0.9986039183694178
962756,14.06,48,493,166396,Salaried,0.7,1338971,2,1,Yes,5.214113039576272,0.9945901697083149
225203,12.24,12,276,168939,Salaried,1.14,1970612,4,2,Yes,7.1759129863441835,0.9992357972933907
1289911,15.27,48,834,15203,Self-Employed,0.38,660284,2,2,Yes,25.693245971189892,0.9999999999930567
328167,12.24,84,564,162616,Self-Employed,0.21,1096613,1,0,Yes,2.7294145963496828,0.938740180986224
91090,16.23,48,683,161971,Self-Employed,0.53,92115,1,2,No,1.698215387322422,0.8453015104897309
379365,12.62,60,559,44063,Salaried,0.78,1912934,0,1,Yes,5.153214662339529,0.99425243394869
1163396,12.73,72,713,105880,Self-Employed,1.05,1520608,2,0,No,4.425528585820426,0.9881736527717261
837201,16.52,24,412,18748,Self-Employed,0.48,482870,4,0,Yes,17.391978308797384,0.9999999720256646
1420455,10.84,24,374,132269,Self-Employed,0.82,1118976,1,0,Yes,7.606407966593331,0.9995029923292159
1816891,7.61,48,654,95764,Salaried,0.49,1672389,0,1,Yes,7.613609992620748,0.9995065571726801
377069,6.35,36,883,166956,Self-Employed,0.78,363308,2,2,No,1.3303813100457607,0.7909037009445957
